Solar Longitude (deg): 260
Number radii: 600
Number longitude: 400
Evaluated Points: 240000
Method,Operation,Time_seconds
Polynomial,Dataset_Creation,0.00140087
Polynomial,Wind_Computation,2.78414
Stokes,Dataset_Creation,0.965199
Stokes,Wind_Computation,0.0988568
