time,0,1,2,3,4,5
0.0,20.245779780388546,120000.0,0.0019311452486963853,-1.2146629120918524,3.022264566865675e-17,-0.10790700365210792
1.0,20.28696059389452,119879.21627753787,0.0019592705753363276,-1.2146392276278368,3.0256412637486675e-17,-0.10790073848189852
2.0,20.328315452999206,119758.75792472623,0.0019878575170454325,-1.2146154430643727,3.0290322318220666e-17,-0.10789444683272457
3.0,20.36983847312612,119638.62513315771,0.0020169139738372365,-1.214591561785877,3.032436988569153e-17,-0.10788812959985429
4.0,20.41152371788245,119518.8180939164,0.0020464476553523126,-1.2145675872065678,3.03585504722443e-17,-0.10788178768643918
5.0,20.453365198414296,119399.33699759748,0.002076466082026239,-1.2145435227708359,3.03928591672076e-17,-0.10787542200361197
6.0,20.495356872835632,119280.18203428946,0.002106976586268088,-1.2145193719535714,3.0427291016425333e-17,-0.10786903347057364
7.0,20.537492645708706,119161.35339358635,0.0021379863136330047,-1.2144951382604645,3.0461841021830723e-17,-0.10786262301467243
8.0,20.579766367596022,119042.85126457456,0.002169502224002525,-1.2144708252282634,3.049650414107888e-17,-0.10785619157147205
9.0,20.622172194095274,118924.67583584134,0.002201531301151308,-1.214446436218279,3.053127558194417e-17,-0.10784974003012866
10.0,20.664708888145736,118806.82729547191,0.002234083026791532,-1.2144219719419858,3.056615433007578e-17,-0.1078432685788463
11.0,20.707378450808136,118689.3058310384,0.002267168515189122,-1.2143974312485075,3.0601142026280446e-17,-0.10783677691318742
12.0,20.7501829601879,118572.11162961926,0.0023007986581592404,-1.2143728129426559,3.063624037453908e-17,-0.10783026471699306
13.0,20.79312450565174,118455.24487777706,0.0023349840883221296,-1.2143481158227662,3.067145108806652e-17,-0.10782373167239093
14.0,20.836205187802424,118338.70576157607,0.0023697351807167866,-1.2143233386807117,3.0706775889290835e-17,-0.10781717745979937
15.0,20.879427118468875,118222.49446656276,0.0024050620544259884,-1.2142984803019088,3.074221650984515e-17,-0.10781060175792875
16.0,20.92279242068307,118106.61117778718,0.0024409745741897377,-1.2142735394653301,3.0777774690548754e-17,-0.10780400424378504
17.0,20.966303228507062,117991.05607978068,0.0024774823522654052,-1.214248514943606,3.081345218126526e-17,-0.10779738459269615
18.0,21.00996123616135,117875.82935656328,0.002514595372598362,-1.2142234057623336,3.0849250371202065e-17,-0.10779074254690661
19.0,21.05376671099377,117760.93119165115,0.002552325327764666,-1.2141982117677514,3.088516947957596e-17,-0.10778407806574261
20.0,21.097719632331835,117646.3617680464,0.002590684006661868,-1.2141729329717497,3.092120948943616e-17,-0.1077773911523492
21.0,21.14181997374524,117532.12126823142,0.0026296829017087033,-1.2141475693895287,3.0957370379110645e-17,-0.10777068181074748
22.0,21.186067702935325,117418.20987418108,0.0026693332107791804,-1.2141221210396649,3.099365212211555e-17,-0.10776395004585129
23.0,21.2304627816322,117304.62776735146,0.0027096458391451216,-1.2140965879441687,3.103005468707075e-17,-0.10775719586348295
24.0,21.275005165483982,117191.37512868643,0.0027506314014133356,-1.214070970128548,3.106657803760911e-17,-0.10775041927039004
25.0,21.319694803950657,117078.45213860925,0.002792300223468622,-1.2140452676218703,3.110322213228941e-17,-0.10774362027426165
26.0,21.364531642479623,116965.85897702351,0.0028346623700186914,-1.2140194804555104,3.113998692638024e-17,-0.10773679888339732
27.0,21.409515792393318,116853.59582331963,0.0028777295375898722,-1.2139936085654435,3.117687251116248e-17,-0.10772995508086064
28.0,21.4546476495754,116741.66285636369,0.002921516310348585,-1.213967651723983,3.121387921124826e-17,-0.10772308880642262
29.0,21.499927634516204,116630.06025449745,0.002966037206413485,-1.2139416096892914,3.125100737142639e-17,-0.10771619999611069
30.0,21.545356164638413,116518.78819554579,0.0030113063697275568,-1.2139154822212945,3.1288257333970305e-17,-0.10770928858641894
31.0,21.590933654198373,116407.84685680456,0.003057337572607779,-1.21388926908174,3.132562943855717e-17,-0.10770235451432321
32.0,21.63666051417531,116297.23641505372,0.003104144218284879,-1.2138629700342598,3.1363124022176984e-17,-0.10769539771729793
33.0,21.682537152170745,116186.95704654045,0.0031517393434555723,-1.2138365848444284,3.1400741419050123e-17,-0.10768841813333133
34.0,21.72856397229521,116077.00892698858,0.003200135620824217,-1.213810113279829,3.143848196053452e-17,-0.10768141570094289
35.0,21.774741375725625,115967.39223159477,0.0032493453907349585,-1.2137835551097305,3.147634597558258e-17,-0.10767439035909823
36.0,21.821069812589943,115858.10713502672,0.0032993829148794513,-1.2137569100752499,3.151433383328504e-17,-0.10766734203931579
37.0,21.867549819520036,115749.15381142125,0.003350265928294939,-1.2137301778677518,3.1552445973663115e-17,-0.10766027065995341
38.0,21.91418193901176,115640.5324343834,0.003402012076449576,-1.213703358175229,3.15906828415463e-17,-0.10765317613847683
39.0,21.960966710571128,115532.24317699205,0.003454638535455299,-1.2136764506873934,3.1629044879312535e-17,-0.10764605839280661
40.0,22.007904670599686,115424.28621178959,0.003508162015399943,-1.2136494550957424,3.166753252679416e-17,-0.10763891734133567
41.0,22.05499635227404,115316.66171078011,0.0035625987636752634,-1.2136223710936287,3.170614622117919e-17,-0.10763175290294753
42.0,22.102242285417017,115209.36984544154,0.0036179645682973055,-1.213595198376333,3.1744886396905635e-17,-0.10762456499703595
43.0,22.149642996376766,115102.41078671347,0.0036742747612383015,-1.2135679366411347,3.1783753485562384e-17,-0.10761735354352334
44.0,22.197199007888145,114995.78470499534,0.0037315442218182776,-1.213540585587392,3.182274791577555e-17,-0.10761011846288179
45.0,22.244910640783168,114889.49177015107,0.003789788554003202,-1.2135131450305838,3.1861869950617274e-17,-0.10760285970630058
46.0,22.29277750542222,114783.53215150349,0.0038490270452596594,-1.2134856151948044,3.190111927059533e-17,-0.10759557733305869
