Solar Longitude (deg): 210
Number radii: 600
Number longitude: 400
Evaluated Points: 240000
Method,Operation,Time_seconds
Polynomial,Dataset_Creation,0.00139854
Polynomial,Wind_Computation,2.641
Stokes,Dataset_Creation,0.94828
Stokes,Wind_Computation,0.0947927
