Solar Longitude (deg): 160
Number radii: 600
Number longitude: 400
Evaluated Points: 240000
Method,Operation,Time_seconds
Polynomial,Dataset_Creation,0.0014105
Polynomial,Wind_Computation,2.63497
Stokes,Dataset_Creation,0.941057
Stokes,Wind_Computation,0.0943391
