0                 421800000         0.004             0                 0                 0                 0               
450               421800000         0.00399999999999989  0                 0                 0                 0.0186382761968578
900               421800000         0.00399999999999689  0                 0                 0                 0.0372765007981234
1350              421800000         0.00399999999999268  0                 0                 0                 0.0559146222347896
1800              421800000         0.00399999999998513  0                 0                 0                 0.0745525889781444
2250              421800000         0.00399999999996936  0                 0                 0                 0.0931903495529724
2700              421799999.999999  0.00399999999994605  0                 0                 0                 0.111827852560053
3150              421799999.999999  0.00399999999991496  0                 0                 0                 0.130465046694024
3600              421799999.999999  0.00399999999987333  0                 0                 0                 0.149101880760707
4050              421799999.999999  0.00399999999982192  0                 0                 0                 0.167738303696363
4500              421799999.999999  0.0039999999997562  0                 0                 0                 0.186374264586705
4950              421799999.999998  0.00399999999967615  0                 0                 0                 0.205009712684466
5400              421799999.999998  0.00399999999958067  0                 0                 0                 0.223644597428769
5850              421799999.999997  0.0039999999994671  0                 0                 0                 0.242278868460834
6300              421799999.999996  0.00399999999933487  0                 0                 0                 0.26091247564716
6750              421799999.999996  0.0039999999991861  0                 0                 0                 0.279545369092967
7200              421799999.999995  0.00399999999901435  0                 0                 0                 0.298177499160669
7650              421799999.999995  0.00399999999882272  0                 0                 0                 0.316808816490793
8100              421799999.999994  0.0039999999986069  0                 0                 0                 0.335439272016552
8550              421799999.999993  0.00399999999836553  0                 0                 0                 0.35406881698306
9000              421799999.999992  0.00399999999809952  0                 0                 0                 0.372697402964982
9450              421799999.999991  0.00399999999780787  0                 0                 0                 0.391324981883325
9900              421799999.999991  0.0039999999974909  0                 0                 0                 0.409951506022712
10350             421799999.99999   0.00399999999714473  0                 0                 0                 0.428576928047878
10800             421799999.999988  0.00399999999676626  0                 0                 0                 0.447201201021558
11250             421799999.999988  0.00399999999636069  0                 0                 0                 0.465824278422051
11700             421799999.999986  0.00399999999592171  0                 0                 0                 0.484446114157576
12150             421799999.999985  0.00399999999545309  0                 0                 0                 0.503066662584415
12600             421799999.999984  0.00399999999495082  0                 0                 0                 0.521685878521045
13050             421799999.999982  0.00399999999441336  0                 0                 0                 0.540303717267708
13500             421799999.99998   0.00399999999384182  0                 0                 0                 0.558920134619385
13950             421799999.999978  0.00399999999323519  0                 0                 0                 0.577535086881472
14400             421799999.999976  0.0039999999925947  0                 0                 0                 0.596148530886699
14850             421799999.999974  0.00399999999191691  0                 0                 0                 0.61476042400926
15300             421799999.999972  0.00399999999120615  0                 0                 0                 0.633370724180513
15750             421799999.99997   0.00399999999045553  0                 0                 0                 0.651979389902087
16200             421799999.999967  0.00399999998966738  0                 0                 0                 0.670586380263144
16650             421799999.999965  0.00399999998884248  0                 0                 0                 0.689191654952274
17100             421799999.999963  0.00399999998798184  0                 0                 0                 0.707795174272406
17550             421799999.999959  0.00399999998707845  0                 0                 0                 0.726396899154518
18000             421799999.999956  0.00399999998614009  0                 0                 0                 0.744996791171603
18450             421799999.999953  0.00399999998516298  0                 0                 0                 0.76359481255053
18900             421799999.999949  0.00399999998414635  0                 0                 0                 0.782190926187073
19350             421799999.999947  0.00399999998309442  0                 0                 0                 0.800785095657154
19800             421799999.999943  0.00399999998200062  0                 0                 0                 0.81937728522995
