Solar Longitude (deg): 180
Number radii: 600
Number longitude: 400
Evaluated Points: 240000
Method,Operation,Time_seconds
Polynomial,Dataset_Creation,0.00139179
Polynomial,Wind_Computation,2.56857
Stokes,Dataset_Creation,0.93678
Stokes,Wind_Computation,0.0947032
