12160         C2000 12 20.31595 06 10 31.17 +30 41 13.8          19.1  cc4594704
12160         C2000 12 20.33098 06 10 30.13 +30 41 14.2          19.4  cc4594704
12160         C2001 01 04.24805 05 53 19.15 +30 40 02.9          18.6  cc4594704
12160         C2001 01 04.27904 05 53 16.99 +30 40 03.2          18.0  cc4594704
12160         C2001 01 04.29463 05 53 15.96 +30 40 02.0          18.6  cc4594704
12160         C2001 01 15.15033 05 42 46.48 +30 26 08.5          18.8  cc6111704
12160         C2001 01 15.16575 05 42 45.65 +30 26 07.9          18.8  cc6111704
12160         C2001 01 15.18116 05 42 44.91 +30 26 06.9          18.6  cc6111704
12160         C2001 01 15.19655 05 42 44.03 +30 26 05.3          19.3  cc6111704
12160         C2001 01 19.24921 05 39 32.60 +30 18 57.4          19.0  cc6111704
12160         C2001 01 19.26444 05 39 31.98 +30 18 56.2          19.5  cc6111704
12160         C2001 01 19.27968 05 39 31.28 +30 18 54.3          19.0  cc6111704
12160         C2001 01 19.29544 05 39 30.53 +30 18 52.5          18.9  cc6111704
12160         C2001 01 19.31067 05 39 29.88 +30 18 50.9          19.0  cc6111704
12160         C2002 01 11.43658 12 27 37.38 +00 03 03.6          19.8  ce7991704
12160         C2002 01 11.46846 12 27 38.33 +00 02 56.1          19.3  ce7991704
12160         C2002 01 11.48391 12 27 38.78 +00 02 52.1          19.6  ce7991704
12160         C2002 01 12.46467 12 28 09.86 -00 00 36.8          19.2  ce7991704
12160         C2002 01 12.48035 12 28 10.39 -00 00 40.2          19.5  ce7991704
12160         C2002 01 12.49570 12 28 10.86 -00 00 43.8          18.9  ce7991704
12160         C2002 01 12.51114 12 28 11.28 -00 00 47.6          19.4  ce7991704
12160         C2002 01 12.52651 12 28 11.73 -00 00 49.9          19.3  ce7991704
12160         C2002 01 14.56237 12 29 12.16 -00 07 42.8          19.7  ce7991608
12160         C2002 01 14.57265 12 29 12.44 -00 07 44.7          19.5  ce7991608
12160         C2002 01 14.58345 12 29 12.73 -00 07 46.7          19.8  ce7991608
